Beta1,Solidity,ID,LER/Chord,TER/Chord,Tmax/C,65_Camber,Dum,MCL B1*-AlphaChord,Camber_MCL,LE_Wedge_Angle,TE_Wedge_Angle,O_q_Tau,TE_O_q_Min_O,Attack_Angle,Turning,Ave_Min_Loss
60,2,65-406 1% TER,0.0024,0.01,0.06,4,,4.6,9.5,13.4,5.3,0.382,1.22,0,2.5,0.011
70,2,65-406 1% TER,0.0024,0.01,0.06,4,,4.6,9.5,13.4,5.3,0.26,1.319,2,2,0.01
